RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,PrevDelq,RiskEst,TradesDelq,RevBalance/CreditLimit
Bad,70.0,213.0,19.0,107.0,33.0,1.0,0.0,97.0,10-19 months,unknown delinquency,60 days delinquent,53.0,0.0,15.0,0-4 months,2.0,32.0,4.0,2.0,2.5,44.0,Yes,High Risk,Yes,High
Bad,73.0,156.0,4.0,60.0,19.0,0.0,0.0,95.0,0-9 months,30 days delinquent,30 days delinquent,20.0,2.0,30.0,0-4 months,0.0,53.0,4.0,1.0,1.0,56.0,Yes,Low Risk,Yes,High
Good,82.0,431.0,4.0,84.0,33.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,34.0,3.0,12.0,5-9 months,0.0,17.0,4.0,1.0,0.0,71.0,No,Low Risk,No,Low
Bad,74.0,271.0,10.0,76.0,22.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,24.0,1.0,46.0,0-4 months,0.0,70.0,8.0,4.0,2.5,100.0,No,Low Risk,No,High
Good,74.0,140.0,4.0,69.0,22.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,23.0,1.0,30.0,0-4 months,2.0,30.0,5.0,3.0,1.0,57.0,No,Low Risk,No,High
Good,65.0,340.0,3.0,110.0,27.0,2.0,2.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,26.0,2.0,30.0,0-4 months,3.0,58.0,9.5,3.0,2.5,83.0,No,High Risk,No,High
Bad,56.0,106.0,2.0,31.0,40.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,41.0,7.5,46.0,No inquiries,5.0,57.0,9.5,6.0,2.5,87.0,No,High Risk,No,High
Bad,66.0,159.0,16.0,81.0,24.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,25.0,0.0,12.0,0-4 months,1.0,81.0,9.5,2.0,2.5,83.0,No,High Risk,No,High
Bad,64.0,280.0,2.0,141.0,1.0,1.0,1.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,3.0,1.0,82.0,No inquiries,5.0,28.0,4.0,2.0,1.0,100.0,No,High Risk,No,High
Bad,63.0,46.0,2.0,23.0,16.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,7.5,47.0,0-4 months,4.0,72.0,2.0,4.0,1.0,75.0,No,High Risk,No,High
Bad,78.0,200.0,25.5,69.0,3.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,6.0,0.0,0.0,0-4 months,1.0,30.0,2.0,2.0,1.0,100.0,No,Low Risk,No,High
Bad,54.0,162.0,7.0,87.0,24.0,1.0,0.0,85.0,0-9 months,30 days delinquent,60 days delinquent,26.0,1.0,31.0,0-4 months,2.0,65.0,9.0,3.0,2.5,80.0,Yes,High Risk,Yes,High
Good,59.0,48.0,10.0,23.0,21.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,2.0,43.0,0-4 months,3.0,52.0,5.0,4.0,2.5,75.0,No,High Risk,No,High
Bad,65.0,233.0,25.5,130.0,3.0,1.0,1.0,75.0,10-19 months,30 days delinquent,120+ days delinquent,4.0,0.0,50.0,0-4 months,4.0,60.0,1.0,1.0,1.0,100.0,Yes,High Risk,Yes,High
Bad,50.0,54.0,4.0,19.0,16.0,0.0,0.0,94.0,0-9 months,30 days delinquent,30 days delinquent,17.0,7.0,29.0,0-4 months,0.0,89.0,4.0,2.0,2.5,75.0,Yes,High Risk,Yes,High
Bad,87.0,195.0,12.0,115.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,0.0,50.0,0-4 months,0.0,21.0,3.0,2.0,0.0,63.0,No,Low Risk,No,High
Good,76.0,245.0,12.0,112.0,21.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,0.0,24.0,10-14 months,0.0,68.0,3.0,2.0,2.0,67.0,No,Low Risk,No,High
Good,82.0,169.0,9.0,64.0,27.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,19.0,1.0,15.0,10-14 months,0.0,17.0,4.0,2.0,0.0,30.0,No,Low Risk,No,Low
Bad,76.0,177.0,1.0,44.0,24.0,1.0,0.0,96.0,20-29 months,unknown delinquency,60 days delinquent,26.0,3.0,15.0,0-4 months,1.0,5.0,4.0,3.0,0.0,37.0,Yes,Low Risk,Yes,Low
Good,67.0,44.0,21.0,96.0,6.0,2.0,1.0,72.5,30-39 months,unknown delinquency,derogatory comment,14.0,0.0,0.0,0-4 months,2.0,65.0,4.0,2.0,2.0,80.0,Yes,High Risk,Yes,High
Good,74.0,121.0,5.0,66.0,21.0,0.0,0.0,95.0,30-39 months,unknown delinquency,30 days delinquent,21.0,1.0,48.0,5-9 months,0.0,58.0,2.0,4.0,1.0,86.0,Yes,Low Risk,Yes,High
Good,79.0,175.0,1.0,59.0,21.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,2.0,68.0,0-4 months,1.0,46.0,2.0,3.0,1.0,71.0,No,Low Risk,No,High
Good,84.0,278.0,10.0,93.0,34.0,0.0,0.0,94.0,10-19 months,unknown delinquency,30 days delinquent,34.0,1.0,18.0,0-4 months,0.0,9.0,5.0,1.0,0.0,43.0,Yes,Low Risk,Yes,Low
Good,82.0,454.0,25.5,89.0,7.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,0.0,0.0,14.0,0-4 months,1.0,27.0,2.0,2.0,1.0,40.0,No,Low Risk,No,High
Bad,65.0,293.0,1.0,84.0,29.0,1.0,1.0,94.0,0-9 months,unknown delinquency,30 days delinquent,32.0,3.0,26.0,0-4 months,3.0,24.0,6.0,1.0,2.0,58.0,Yes,High Risk,Yes,High
Bad,82.0,115.0,4.0,45.0,16.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,16.0,3.0,63.0,0-4 months,0.0,0.0,1.0,3.0,0.0,50.0,No,Low Risk,No,Low
Bad,59.0,192.0,5.0,99.0,18.0,2.5,2.6,81.0,0-9 months,60 days delinquent,derogatory comment,26.0,1.0,19.0,No inquiries,1.0,40.0,3.0,1.0,0.0,57.0,Yes,High Risk,Yes,High
Good,80.0,141.0,9.0,57.0,33.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,33.0,2.0,24.0,5-9 months,0.0,6.0,1.0,1.0,1.0,43.0,No,Low Risk,No,Low
Good,77.0,271.0,4.0,81.0,22.0,0.0,0.0,95.0,50-59 months,unknown delinquency,30 days delinquent,22.0,2.0,18.0,0-4 months,1.0,22.0,6.0,2.0,0.0,44.0,Yes,Low Risk,Yes,High
Bad,63.0,282.0,4.0,71.0,29.0,2.0,2.0,88.0,0-9 months,30 days delinquent,derogatory comment,32.0,4.0,69.0,0-4 months,1.0,4.0,5.0,4.0,0.0,82.0,Yes,High Risk,Yes,Low
Bad,85.0,77.0,13.0,40.0,8.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,8.0,0.0,50.0,0-4 months,0.0,4.0,1.0,1.0,0.0,40.0,No,Low Risk,No,Low
Good,86.0,126.0,3.0,51.0,36.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,27.0,2.0,6.0,10-14 months,0.0,1.0,4.0,2.0,0.0,24.0,No,Low Risk,No,Low
Good,87.0,325.0,6.0,102.0,27.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,27.0,3.0,41.0,0-4 months,1.0,1.0,7.0,5.0,0.0,71.0,No,Low Risk,No,Low
Bad,70.0,119.0,3.0,29.0,8.0,0.0,0.0,88.0,0-9 months,30 days delinquent,30 days delinquent,8.0,1.0,75.0,0-4 months,2.0,0.0,0.0,4.0,1.0,80.0,Yes,High Risk,Yes,Low
Good,85.0,387.0,25.5,155.0,9.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,11.0,0.0,0.0,0-4 months,0.0,34.0,3.0,2.0,0.0,60.0,No,Low Risk,No,High
Bad,74.0,119.0,1.0,62.0,19.0,0.0,0.0,95.0,20-29 months,unknown delinquency,30 days delinquent,22.0,2.0,36.0,0-4 months,5.0,11.0,6.0,2.0,0.0,62.0,Yes,Low Risk,Yes,Low
Good,65.0,145.0,1.0,51.0,7.0,2.5,2.0,80.0,50-59 months,unknown delinquency,derogatory comment,15.0,2.0,50.0,No inquiries,1.0,43.0,3.0,2.0,0.0,100.0,Yes,High Risk,Yes,High
Bad,75.0,40.0,4.0,22.0,4.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,5.0,1.0,0.0,0-4 months,1.0,53.0,1.0,2.0,0.0,50.0,No,Low Risk,No,High
Bad,65.0,263.0,5.0,93.0,45.0,0.0,0.0,96.0,10-19 months,30 days delinquent,30 days delinquent,19.0,1.0,24.0,no “hard” inquiries,0.0,28.0,9.5,3.0,2.5,65.0,Yes,High Risk,Yes,High
Good,63.0,112.0,7.0,45.0,37.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,37.0,7.5,5.0,0-4 months,2.0,25.0,9.5,2.0,1.0,56.0,No,High Risk,No,High
Good,89.0,270.0,3.0,98.0,12.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,12.0,2.0,25.0,10-14 months,0.0,9.0,2.0,2.0,0.0,67.0,No,Low Risk,No,Low
Bad,58.0,92.0,6.0,40.0,34.0,1.0,1.0,100.0,No delinquencies,derogatory comment,current and never delinquent,41.0,1.0,22.0,0-4 months,4.0,37.0,8.0,4.0,2.5,52.0,No,High Risk,No,High
Good,76.0,159.0,3.0,84.0,21.0,0.0,0.0,95.0,No delinquencies,unknown delinquency,unknown delinquency,21.0,1.0,71.0,0-4 months,1.0,42.0,3.0,3.0,1.0,75.0,No,Low Risk,Yes,High
Bad,63.0,201.0,9.0,82.0,37.0,0.0,0.0,84.0,0-9 months,30 days delinquent,30 days delinquent,38.0,1.0,26.0,0-4 months,0.0,36.0,7.0,1.0,2.0,40.0,Yes,High Risk,Yes,High
Good,66.0,203.0,25.5,109.0,8.0,0.0,0.0,72.5,0-9 months,30 days delinquent,30 days delinquent,10.0,0.0,10.0,no “hard” inquiries,0.0,34.0,3.0,1.0,1.0,100.0,Yes,High Risk,Yes,High
Good,85.0,320.0,9.0,81.0,27.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,2.0,47.0,5-9 months,0.0,4.0,1.0,3.0,0.0,36.0,No,Low Risk,No,Low
Bad,74.0,169.0,5.0,78.0,26.0,0.0,0.0,96.0,70-79 months,unknown delinquency,30 days delinquent,27.0,2.0,37.0,0-4 months,1.0,37.0,5.0,4.0,0.0,75.0,Yes,Low Risk,Yes,High
Bad,82.0,78.0,2.0,31.0,9.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,10.0,2.0,40.0,0-4 months,1.0,5.0,2.0,1.0,0.0,60.0,No,Low Risk,No,Low
Bad,56.0,161.0,25.5,118.0,6.0,2.5,2.0,72.5,0-9 months,derogatory comment,60 days delinquent,10.0,0.0,10.0,no “hard” inquiries,0.0,81.0,3.0,2.0,2.0,75.0,Yes,High Risk,Yes,High
Bad,65.0,259.0,25.5,121.0,8.0,1.0,1.0,72.5,0-9 months,30 days delinquent,derogatory comment,9.0,0.0,11.0,0-4 months,1.0,34.0,3.0,2.0,1.0,60.0,Yes,High Risk,Yes,High
Good,80.0,454.0,5.0,115.0,19.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,21.0,3.0,29.0,5-9 months,1.0,30.0,3.0,2.0,1.0,63.0,No,Low Risk,No,High
Good,73.0,126.0,2.0,80.0,23.0,1.0,1.0,88.0,10-19 months,unknown delinquency,derogatory comment,25.0,1.0,24.0,0-4 months,1.0,25.0,2.0,1.0,0.0,43.0,Yes,Low Risk,Yes,High
Good,73.0,197.0,25.5,109.0,6.0,1.0,1.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,7.0,0.0,71.0,no “hard” inquiries,0.0,8.0,1.0,2.0,0.0,100.0,No,Low Risk,No,Low
Bad,63.0,177.0,6.0,116.0,28.0,0.0,0.0,87.0,0-9 months,30 days delinquent,30 days delinquent,29.0,2.0,50.0,0-4 months,5.0,52.0,3.0,6.0,0.0,72.0,Yes,High Risk,Yes,High
Good,83.0,426.0,10.0,142.0,36.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,37.0,1.0,24.0,0-4 months,1.0,9.0,5.0,2.0,0.0,44.0,No,Low Risk,No,Low
Bad,54.0,113.0,2.0,36.0,37.0,0.0,0.0,97.0,0-9 months,30 days delinquent,30 days delinquent,38.0,6.0,50.0,0-4 months,5.0,59.0,4.0,5.0,1.0,69.0,Yes,High Risk,Yes,High
Bad,57.0,61.0,5.0,30.0,9.0,0.0,0.0,89.0,20-29 months,unknown delinquency,30 days delinquent,9.0,1.0,67.0,0-4 months,2.0,98.0,3.0,1.0,2.0,100.0,Yes,High Risk,Yes,High
Good,80.0,232.0,7.0,75.0,33.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,34.0,2.0,38.0,5-9 months,0.0,5.0,3.0,3.0,0.0,55.0,No,Low Risk,No,Low
Bad,76.0,314.0,3.0,155.0,7.0,2.0,1.0,72.5,30-39 months,unknown delinquency,120+ days delinquent,9.0,1.0,11.0,0-4 months,2.0,2.0,2.0,1.0,0.0,43.0,Yes,Low Risk,Yes,Low
Good,86.0,307.0,24.0,131.0,14.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,15.0,0.0,0.0,0-4 months,0.0,10.0,2.0,2.0,0.0,29.0,No,Low Risk,No,Low
Bad,60.0,191.0,25.5,93.0,5.0,2.5,2.0,72.5,0-9 months,60 days delinquent,derogatory comment,40.0,0.0,46.0,0-4 months,4.0,30.0,1.0,1.0,0.0,67.0,Yes,High Risk,Yes,High
Good,63.0,104.0,3.0,42.0,13.0,2.5,2.6,87.0,20-29 months,derogatory comment,120+ days delinquent,15.0,3.0,40.0,No inquiries,4.0,41.0,5.0,6.0,0.0,85.0,Yes,High Risk,Yes,High
Bad,55.0,266.0,4.0,69.0,21.0,2.0,1.0,88.0,0-9 months,derogatory comment,derogatory comment,53.0,4.0,50.0,No inquiries,5.0,5.0,3.0,4.0,0.0,100.0,Yes,High Risk,Yes,Low
Good,79.0,149.0,1.0,62.0,12.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,4.0,20.0,0-4 months,3.0,21.0,1.0,1.0,0.0,25.0,No,Low Risk,No,High
Good,67.0,22.0,2.0,13.0,4.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,5.0,2.0,40.0,No inquiries,1.0,71.0,1.0,2.0,1.0,75.0,No,High Risk,No,High
Good,80.0,138.0,1.0,52.0,11.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,12.0,2.0,25.0,0-4 months,2.0,32.0,1.0,2.0,1.0,75.0,No,Low Risk,No,High
Good,85.0,211.0,19.0,119.0,12.0,1.0,0.0,86.0,40-49 months,unknown delinquency,60 days delinquent,15.0,0.0,29.0,no “hard” inquiries,0.0,5.0,4.0,1.0,0.0,71.0,Yes,Low Risk,Yes,Low
Good,68.0,178.0,1.0,66.0,21.0,0.0,0.0,96.0,0-9 months,30 days delinquent,30 days delinquent,44.0,6.0,74.0,5-9 months,0.0,38.0,3.0,3.0,2.0,75.0,Yes,High Risk,Yes,High
Bad,91.0,215.0,25.5,104.0,15.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,16.0,0.0,38.0,no “hard” inquiries,0.0,0.0,0.0,1.0,1.0,25.0,No,Low Risk,No,Low
Good,84.0,128.0,6.0,70.0,28.0,0.0,0.0,96.0,20-29 months,unknown delinquency,30 days delinquent,28.0,3.0,14.0,no “hard” inquiries,0.0,3.0,2.0,1.0,0.0,33.0,Yes,Low Risk,Yes,Low
Bad,61.0,197.0,3.0,43.0,13.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,11.0,3.0,23.0,No inquiries,2.0,90.0,5.0,3.0,2.5,89.0,No,High Risk,No,High
Bad,66.0,387.0,25.5,155.0,13.0,1.0,1.0,80.0,20-29 months,unknown delinquency,90 days delinquent,15.0,0.0,40.0,0-4 months,1.0,38.0,4.0,2.0,2.5,86.0,Yes,High Risk,Yes,High
Good,71.0,395.0,18.0,150.0,22.0,0.0,0.0,91.0,10-19 months,unknown delinquency,30 days delinquent,22.0,0.0,18.0,0-4 months,0.0,60.0,5.0,2.0,2.0,64.0,Yes,Low Risk,Yes,High
Bad,74.0,351.0,7.0,79.0,7.0,0.0,0.0,72.5,10-19 months,30 days delinquent,30 days delinquent,8.0,1.0,63.0,5-9 months,0.0,0.0,0.0,3.0,0.0,75.0,Yes,Low Risk,Yes,Low
Bad,69.0,202.0,24.0,81.0,13.0,1.0,0.0,72.5,10-19 months,unknown delinquency,60 days delinquent,15.0,0.0,20.0,0-4 months,1.0,44.0,3.0,1.0,1.0,50.0,Yes,High Risk,Yes,High
Good,65.0,183.0,16.0,77.0,24.0,0.0,0.0,96.0,0-9 months,30 days delinquent,30 days delinquent,24.0,0.0,33.0,15-19 months,0.0,45.0,3.0,4.0,2.5,70.0,Yes,High Risk,Yes,High
Good,89.0,125.0,25.5,69.0,7.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,4.0,0.0,14.0,no “hard” inquiries,0.0,4.0,2.0,1.0,0.0,100.0,No,Low Risk,No,Low
Bad,60.0,283.0,5.0,88.0,19.0,0.0,0.0,89.0,0-9 months,30 days delinquent,30 days delinquent,19.0,1.0,47.0,5-9 months,2.0,95.0,2.0,2.0,1.0,67.0,Yes,High Risk,Yes,High
Bad,75.0,159.0,6.0,82.0,11.0,1.0,1.0,92.0,70-79 months,unknown delinquency,120+ days delinquent,13.0,3.0,38.0,0-4 months,0.0,40.0,3.0,1.0,0.0,100.0,Yes,Low Risk,Yes,High
Good,85.0,127.0,9.0,58.0,22.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,22.0,2.0,50.0,0-4 months,0.0,2.0,1.0,1.0,0.0,33.0,No,Low Risk,No,Low
Good,91.0,228.0,18.0,127.0,16.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,0.0,33.0,15-19 months,0.0,1.0,2.0,2.0,0.0,33.0,No,Low Risk,No,Low
Bad,88.0,274.0,11.0,105.0,11.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,11.0,1.0,18.0,0-4 months,0.0,27.0,3.0,1.0,0.0,67.0,No,Low Risk,No,High
Good,92.0,325.0,25.5,137.0,16.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,16.0,0.0,31.0,0-4 months,0.0,1.0,2.0,1.0,0.0,38.0,No,Low Risk,No,Low
Good,69.0,207.0,1.0,79.0,21.0,2.0,2.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,22.0,3.0,73.0,0-4 months,1.0,30.0,1.0,3.0,1.0,57.0,No,High Risk,No,High
Bad,61.0,96.0,3.0,28.0,9.0,1.0,1.0,80.0,0-9 months,30 days delinquent,derogatory comment,16.0,3.0,40.0,No inquiries,0.0,26.0,3.0,2.0,1.0,63.0,Yes,High Risk,Yes,High
Bad,84.0,447.0,17.0,118.0,20.0,0.0,0.0,95.0,10-19 months,unknown delinquency,30 days delinquent,20.0,0.0,40.0,0-4 months,1.0,12.0,5.0,1.0,0.0,75.0,Yes,Low Risk,Yes,Low
Good,86.0,138.0,16.0,97.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,18.0,0.0,61.0,no “hard” inquiries,0.0,24.0,2.0,1.0,0.0,60.0,No,Low Risk,No,High
Bad,64.0,222.0,6.0,95.0,16.0,1.0,0.0,82.0,0-9 months,30 days delinquent,60 days delinquent,17.0,2.0,47.0,0-4 months,1.0,36.0,5.0,2.0,1.0,70.0,Yes,High Risk,Yes,High
Good,81.0,137.0,1.0,56.0,22.0,1.0,0.0,92.0,30-39 months,unknown delinquency,60 days delinquent,24.0,3.0,21.0,5-9 months,0.0,3.0,3.0,1.0,0.0,50.0,Yes,Low Risk,Yes,Low
Good,82.0,340.0,1.0,87.0,45.0,0.0,0.0,100.0,No delinquencies,unknown delinquency,current and never delinquent,49.0,6.0,27.0,0-4 months,5.0,3.0,6.0,5.0,0.0,44.0,No,Low Risk,No,Low
Bad,66.0,109.0,7.0,52.0,3.0,2.0,2.0,80.0,No Usable/Valid,unknown delinquency,30 days delinquent,5.0,1.0,40.0,0-4 months,4.0,28.0,4.0,1.0,1.0,100.0,Yes,High Risk,Yes,High
Good,73.0,152.0,11.0,75.0,6.0,2.0,0.0,72.5,30-39 months,unknown delinquency,60 days delinquent,8.0,1.0,13.0,0-4 months,0.0,0.0,0.0,1.0,1.0,33.0,Yes,Low Risk,Yes,Low
Bad,77.0,254.0,8.0,39.0,25.0,0.0,0.0,96.0,60-69 months,unknown delinquency,30 days delinquent,16.0,3.0,4.0,5-9 months,0.0,1.0,4.0,2.0,1.0,19.0,Yes,Low Risk,Yes,Low
Good,88.0,219.0,2.0,80.0,28.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,32.0,5.0,34.0,20+ months,0.0,5.0,6.0,4.0,0.0,67.0,No,Low Risk,No,Low
Bad,76.0,166.0,10.0,55.0,35.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,36.0,3.0,19.0,0-4 months,2.0,25.0,6.0,1.0,1.0,47.0,No,Low Risk,No,High
Good,63.0,152.0,2.0,58.0,30.0,0.0,0.0,91.0,70-79 months,unknown delinquency,30 days delinquent,32.0,5.0,44.0,0-4 months,4.0,67.0,5.0,5.0,2.0,91.0,Yes,High Risk,Yes,High
Bad,62.0,54.0,8.0,26.0,6.0,0.0,0.0,86.0,40-49 months,unknown delinquency,30 days delinquent,7.0,2.0,43.0,0-4 months,0.0,65.0,1.0,2.0,1.0,75.0,Yes,High Risk,Yes,High
Bad,68.0,244.0,5.0,84.0,20.0,2.0,1.0,86.0,50-59 months,unknown delinquency,60 days delinquent,21.0,3.0,29.0,5-9 months,0.0,84.0,4.0,1.0,2.5,56.0,Yes,High Risk,Yes,High
Good,76.0,158.0,2.0,65.0,18.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,19.0,2.0,26.0,0-4 months,1.0,28.0,3.0,3.0,1.0,67.0,No,Low Risk,No,High
Bad,70.0,165.0,15.0,90.0,26.0,1.0,1.0,87.0,10-19 months,unknown delinquency,30 days delinquent,31.0,0.0,81.0,No inquiries,0.0,19.0,1.0,4.0,1.0,100.0,Yes,High Risk,Yes,Low
Bad,72.0,270.0,1.0,91.0,35.0,0.0,0.0,94.0,20-29 months,unknown delinquency,30 days delinquent,36.0,2.0,8.0,0-4 months,0.0,40.0,9.5,1.0,1.0,57.0,Yes,Low Risk,Yes,High
Good,79.0,214.0,2.0,64.0,28.0,0.0,0.0,94.0,60-69 months,unknown delinquency,30 days delinquent,32.0,2.0,16.0,0-4 months,1.0,45.0,1.0,1.0,1.0,50.0,Yes,Low Risk,Yes,High
Good,80.0,224.0,15.0,155.0,20.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,20.0,0.0,5.0,0-4 months,1.0,38.0,6.0,1.0,0.0,78.0,No,Low Risk,No,High
Good,81.0,155.0,4.0,55.0,28.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,29.0,4.0,36.0,0-4 months,2.0,2.0,4.0,2.0,0.0,46.0,No,Low Risk,No,Low
Bad,64.0,119.0,10.0,52.0,21.0,1.0,0.0,95.0,0-9 months,60 days delinquent,60 days delinquent,22.0,3.0,55.0,No inquiries,0.0,68.0,4.0,4.0,2.5,90.0,Yes,High Risk,Yes,High
Bad,73.0,74.0,25.5,48.0,3.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,3.0,0.0,82.0,0-4 months,2.0,28.0,4.0,1.0,1.0,100.0,No,Low Risk,No,High
Good,68.0,162.0,13.0,73.0,22.0,1.0,1.0,86.0,0-9 months,30 days delinquent,30 days delinquent,22.0,0.0,23.0,5-9 months,2.0,4.0,5.0,2.0,0.0,42.0,Yes,High Risk,Yes,Low
Bad,68.0,377.0,10.0,81.0,16.0,1.0,0.0,90.0,50-59 months,unknown delinquency,60 days delinquent,21.0,3.0,29.0,0-4 months,2.0,54.0,8.0,2.0,1.0,85.0,Yes,High Risk,Yes,High
Good,80.0,93.0,2.0,34.0,13.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,15.0,3.0,40.0,5-9 months,0.0,6.0,3.0,3.0,0.0,67.0,No,Low Risk,No,Low
Good,87.0,347.0,14.0,139.0,25.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,31.0,0.0,20.0,0-4 months,1.0,8.0,4.0,2.0,0.0,55.0,No,Low Risk,No,Low
Bad,76.0,138.0,15.0,70.0,16.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,17.0,0.0,29.0,0-4 months,1.0,49.0,3.0,2.0,2.0,71.0,No,Low Risk,No,High
Good,88.0,161.0,4.0,97.0,29.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,33.0,3.0,48.0,0-4 months,2.0,7.0,1.0,1.0,0.0,33.0,No,Low Risk,No,Low
Bad,84.0,241.0,4.0,93.0,17.0,0.0,0.0,95.0,20-29 months,unknown delinquency,30 days delinquent,40.0,3.0,53.0,No inquiries,1.0,8.0,2.0,2.0,0.0,67.0,Yes,Low Risk,Yes,Low
Bad,77.0,183.0,13.0,77.0,16.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,16.0,0.0,19.0,0-4 months,2.0,37.0,1.0,1.0,0.0,33.0,No,Low Risk,No,High
Good,90.0,454.0,25.0,155.0,13.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,37.0,0.0,62.0,20+ months,0.0,0.0,1.0,2.0,0.0,50.0,No,Low Risk,No,Low
Good,69.0,10.0,9.0,77.0,12.0,2.0,1.0,72.5,10-19 months,unknown delinquency,90 days delinquent,2.0,2.0,82.0,no “hard” inquiries,0.0,28.0,4.0,2.0,1.0,100.0,Yes,High Risk,Yes,High
Good,56.0,243.0,4.0,42.0,31.0,0.0,0.0,100.0,No delinquencies,current and never delinquent,current and never delinquent,53.0,5.0,35.0,No inquiries,4.0,91.0,9.5,3.0,2.5,93.0,No,High Risk,No,High
Good,79.0,165.0,2.0,100.0,31.0,2.0,1.0,95.0,70-79 months,unknown delinquency,120+ days delinquent,37.0,3.0,73.0,5-9 months,0.0,11.0,2.0,1.0,0.0,60.0,Yes,Low Risk,Yes,Low
Bad,57.0,173.0,3.0,48.0,25.0,1.0,1.0,96.0,0-9 months,90 days delinquent,90 days delinquent,26.0,4.0,23.0,0-4 months,2.0,4.0,5.0,4.0,0.0,60.0,Yes,High Risk,Yes,Low
